                 STARTED     PID    PPID USER     CMD
Tue Jun  3 18:48:33 2025       1       0 root     /sbin/init splash
Tue Jun  3 18:48:33 2025       2       0 root     [kthreadd]
Tue Jun  3 18:48:33 2025       3       2 root     [pool_workqueue_release]
Tue Jun  3 18:48:33 2025       4       2 root     [kworker/R-rcu_gp]
Tue Jun  3 18:48:33 2025       5       2 root     [kworker/R-sync_wq]
Tue Jun  3 18:48:33 2025       6       2 root     [kworker/R-slub_flushwq]
Tue Jun  3 18:48:33 2025       7       2 root     [kworker/R-netns]
Tue Jun  3 18:48:33 2025       9       2 root     [kworker/0:0H-events_highpri]
Tue Jun  3 18:48:33 2025      12       2 root     [kworker/R-mm_percpu_wq]
Tue Jun  3 18:48:33 2025      13       2 root     [rcu_tasks_kthread]
Tue Jun  3 18:48:33 2025      14       2 root     [rcu_tasks_rude_kthread]
Tue Jun  3 18:48:33 2025      15       2 root     [rcu_tasks_trace_kthread]
Tue Jun  3 18:48:33 2025      16       2 root     [ksoftirqd/0]
Tue Jun  3 18:48:33 2025      17       2 root     [rcu_preempt]
Tue Jun  3 18:48:33 2025      18       2 root     [rcu_exp_par_gp_kthread_worker/0]
Tue Jun  3 18:48:33 2025      19       2 root     [rcu_exp_gp_kthread_worker]
Tue Jun  3 18:48:33 2025      20       2 root     [migration/0]
Tue Jun  3 18:48:33 2025      21       2 root     [idle_inject/0]
Tue Jun  3 18:48:33 2025      22       2 root     [cpuhp/0]
Tue Jun  3 18:48:33 2025      23       2 root     [cpuhp/1]
Tue Jun  3 18:48:33 2025      24       2 root     [idle_inject/1]
Tue Jun  3 18:48:33 2025      25       2 root     [migration/1]
Tue Jun  3 18:48:33 2025      26       2 root     [ksoftirqd/1]
Tue Jun  3 18:48:33 2025      28       2 root     [kworker/1:0H-events_highpri]
Tue Jun  3 18:48:33 2025      29       2 root     [cpuhp/2]
Tue Jun  3 18:48:33 2025      30       2 root     [idle_inject/2]
Tue Jun  3 18:48:33 2025      31       2 root     [migration/2]
Tue Jun  3 18:48:33 2025      32       2 root     [ksoftirqd/2]
Tue Jun  3 18:48:33 2025      34       2 root     [kworker/2:0H-events_highpri]
Tue Jun  3 18:48:33 2025      35       2 root     [cpuhp/3]
Tue Jun  3 18:48:33 2025      36       2 root     [idle_inject/3]
Tue Jun  3 18:48:33 2025      37       2 root     [migration/3]
Tue Jun  3 18:48:33 2025      38       2 root     [ksoftirqd/3]
Tue Jun  3 18:48:33 2025      40       2 root     [kworker/3:0H-events_highpri]
Tue Jun  3 18:48:33 2025      41       2 root     [cpuhp/4]
Tue Jun  3 18:48:33 2025      42       2 root     [idle_inject/4]
Tue Jun  3 18:48:33 2025      43       2 root     [migration/4]
Tue Jun  3 18:48:33 2025      44       2 root     [ksoftirqd/4]
Tue Jun  3 18:48:33 2025      46       2 root     [kworker/4:0H-events_highpri]
Tue Jun  3 18:48:33 2025      47       2 root     [cpuhp/5]
Tue Jun  3 18:48:33 2025      48       2 root     [idle_inject/5]
Tue Jun  3 18:48:33 2025      49       2 root     [migration/5]
Tue Jun  3 18:48:33 2025      50       2 root     [ksoftirqd/5]
Tue Jun  3 18:48:33 2025      52       2 root     [kworker/5:0H-events_highpri]
Tue Jun  3 18:48:33 2025      53       2 root     [cpuhp/6]
Tue Jun  3 18:48:33 2025      54       2 root     [idle_inject/6]
Tue Jun  3 18:48:33 2025      55       2 root     [migration/6]
Tue Jun  3 18:48:33 2025      56       2 root     [ksoftirqd/6]
Tue Jun  3 18:48:33 2025      58       2 root     [kworker/6:0H-events_highpri]
Tue Jun  3 18:48:33 2025      59       2 root     [cpuhp/7]
Tue Jun  3 18:48:33 2025      60       2 root     [idle_inject/7]
Tue Jun  3 18:48:33 2025      61       2 root     [migration/7]
Tue Jun  3 18:48:33 2025      62       2 root     [ksoftirqd/7]
Tue Jun  3 18:48:33 2025      64       2 root     [kworker/7:0H-events_highpri]
Tue Jun  3 18:48:33 2025      65       2 root     [kdevtmpfs]
Tue Jun  3 18:48:33 2025      66       2 root     [kworker/R-inet_frag_wq]
Tue Jun  3 18:48:33 2025      67       2 root     [kauditd]
Tue Jun  3 18:48:33 2025      69       2 root     [khungtaskd]
Tue Jun  3 18:48:33 2025      70       2 root     [oom_reaper]
Tue Jun  3 18:48:33 2025      72       2 root     [kworker/R-writeback]
Tue Jun  3 18:48:33 2025      73       2 root     [kcompactd0]
Tue Jun  3 18:48:33 2025      74       2 root     [ksmd]
Tue Jun  3 18:48:33 2025      75       2 root     [khugepaged]
Tue Jun  3 18:48:33 2025      76       2 root     [kworker/R-kintegrityd]
Tue Jun  3 18:48:33 2025      77       2 root     [kworker/R-kblockd]
Tue Jun  3 18:48:33 2025      78       2 root     [kworker/R-blkcg_punt_bio]
Tue Jun  3 18:48:33 2025      81       2 root     [irq/9-acpi]
Tue Jun  3 18:48:33 2025      83       2 root     [kworker/R-tpm_dev_wq]
Tue Jun  3 18:48:33 2025      84       2 root     [kworker/R-ata_sff]
Tue Jun  3 18:48:33 2025      85       2 root     [kworker/R-md]
Tue Jun  3 18:48:33 2025      86       2 root     [kworker/R-md_bitmap]
Tue Jun  3 18:48:33 2025      87       2 root     [kworker/R-edac-poller]
Tue Jun  3 18:48:33 2025      88       2 root     [kworker/R-devfreq_wq]
Tue Jun  3 18:48:33 2025      89       2 root     [watchdogd]
Tue Jun  3 18:48:33 2025      91       2 root     [kworker/0:1H-kblockd]
Tue Jun  3 18:48:33 2025      92       2 root     [kswapd0]
Tue Jun  3 18:48:33 2025      93       2 root     [ecryptfs-kthread]
Tue Jun  3 18:48:33 2025      96       2 root     [kworker/R-kthrotld]
Tue Jun  3 18:48:33 2025      97       2 root     [irq/122-aerdrv]
Tue Jun  3 18:48:33 2025      98       2 root     [irq/123-aerdrv]
Tue Jun  3 18:48:33 2025      99       2 root     [irq/123-pcie-dpc]
Tue Jun  3 18:48:33 2025     100       2 root     [kworker/R-acpi_thermal_pm]
Tue Jun  3 18:48:33 2025     101       2 root     [hwrng]
Tue Jun  3 18:48:33 2025     103       2 root     [kworker/R-mld]
Tue Jun  3 18:48:33 2025     104       2 root     [kworker/1:1H-kblockd]
Tue Jun  3 18:48:33 2025     105       2 root     [kworker/R-ipv6_addrconf]
Tue Jun  3 18:48:33 2025     112       2 root     [kworker/R-kstrp]
Tue Jun  3 18:48:33 2025     114       2 root     [kworker/u33:0-hci0]
Tue Jun  3 18:48:33 2025     127       2 root     [kworker/R-charger_manager]
Tue Jun  3 18:48:33 2025     150       2 root     [kworker/7:1H-kblockd]
Tue Jun  3 18:48:33 2025     154       2 root     [kworker/2:1H-kblockd]
Tue Jun  3 18:48:33 2025     172       2 root     [kworker/4:1H-kblockd]
Tue Jun  3 18:48:33 2025     173       2 root     [kworker/3:1H-kblockd]
Tue Jun  3 18:48:33 2025     183       2 root     [kworker/5:1H-kblockd]
Tue Jun  3 18:48:33 2025     184       2 root     [kworker/6:1H-kblockd]
Tue Jun  3 18:48:33 2025     215       2 root     [kworker/R-nvme-wq]
Tue Jun  3 18:48:33 2025     218       2 root     [kworker/R-nvme-reset-wq]
Tue Jun  3 18:48:33 2025     224       2 root     [kworker/R-nvme-delete-wq]
Tue Jun  3 18:48:33 2025     228       2 root     [kworker/R-nvme-auth-wq]
Tue Jun  3 18:48:33 2025     254       2 root     [scsi_eh_0]
Tue Jun  3 18:48:33 2025     255       2 root     [kworker/R-scsi_tmf_0]
Tue Jun  3 18:48:33 2025     256       2 root     [scsi_eh_1]
Tue Jun  3 18:48:33 2025     257       2 root     [kworker/R-scsi_tmf_1]
Tue Jun  3 18:48:33 2025     258       2 root     [scsi_eh_2]
